id	family	universe	score	sharpe_net	max_dd	turnover	n_params	status	description
s001	momentum	sector-etf	0.0	-0.0374	-9.6	2.4	1	discard	baseline 12-1 cross-sectional momentum on 9 SPDR sector ETFs, monthly rebalance
s002	stat-arb	sector-etf	0.0	-0.4288	-16.0	10.7	3	discard	pairs mean-reversion on 9 SPDR sector ETFs, entry_z=2.0, exit_z=0.25, lookback=40
s003	trend-following	multi-asset	0.1079	0.1079	-17.6	8.7	1	keep	time-series momentum on 8 multi-asset ETFs, lookback=252, weekly rebalance
s004	trend-following	multi-asset	0.0749	0.0749	-14.2	13.3	1	keep	dual-momentum trend (fast=63, slow=252) on 8 multi-asset ETFs
s005	factor	sector-etf	0.0	-0.4124	-20.5	7.1	1	discard	cross-sectional low-vol on 9 SPDR sector ETFs, 60d vol lookback, weekly rebalance
s006	trend-following	multi-asset	0.3167	0.3167	-16.3	12.7	1	keep	trend-following on 12 ETF universe (equities+bonds+commodities+FX), lookback=252
s007	trend-following	multi-asset	0.1746	0.1746	-15.8	19.1	1	keep	dual-momentum trend (fast=63, slow=252) on 12-ETF universe
s008	trend-following	multi-asset	0.3585	0.3585	-15.9	16.0	1	keep	trend-following with VIX>30 flat filter on 12-ETF universe, lookback=252
s009	momentum	broad-etf	0.1401	0.1401	-18.7	5.7	1	keep	cross-sectional momentum on 30 ETF universe, top5/bottom5, monthly rebalance, lookback=252
s010	trend-following	multi-asset	0.4096	0.4096	-17.3	3.6	1	keep	50/200 day MA crossover on 12-ETF universe, weekly rebalance, vol-scaled
s011	carry	credit	0.0	-0.087	-6.1	1.5	2	discard	credit spread carry: long HYG, short TLT, momentum filter avoids credit crises
s012	momentum	sp100	0.0	0.1702	-35.1	9.2	1	discard	cross-sectional momentum on S&P 100 stocks, top10/bottom10, monthly rebalance, lookback=252
s013	mean-reversion	sp100	0.7883	0.7883	-11.1	12.9	1	keep	short-term mean reversion on S&P 100 stocks, 5-day reversal, weekly rebalance
s014	mean-reversion	sp100	0.0	-0.1625	-15.8	17.0	2	discard	enhanced mean reversion on S&P 100, 10-day reversal, biweekly, min_move=2%
s015	mean-reversion	sp100	0.8588	0.8588	-5.8	4.8	1	keep	concentrated mean reversion on S&P 100, 5-day reversal, top5/bottom5, magnitude-weighted
s016	mean-reversion	sp100	0.7878	0.7878	-9.0	9.8	1	keep	magnitude-weighted reversal S&P 100, 5-day, 10/10 positions, weekly
s017	mean-reversion	sp100	0.7287	0.7287	-11.1	13.9	1	keep	filtered reversal S&P 100, 5-day, 10/10, min_move=1%
s018	mean-reversion	sp200	0.4386	0.4386	-12.5	12.0	1	keep	short-term reversal on 200 stocks, 15/15, weekly, equal-weight
s019	multi-factor	sp100	0.6232	0.6232	-13.9	9.9	2	keep	combined 5d reversal + 12m momentum on S&P 100, z-score composite, 8/8, weekly
s020	mean-reversion	sp100	0.0	0.0	0.0	0.0	1	discard	2-day reversal S&P 100, daily rebalance, top5/bottom5
s101	mean-reversion	sp100	0.353	0.353	-19.2	11.2	2	keep	weekly reversal S&P 100, 5/5 equal-weight, lookback=5d (CORRECTED HARNESS - TRUE CHAMPION)
s523	regime-detection	spy-tlt	0.0	0.5911	-3.6	0.3	2	discard	MRD baseline: 5-signal composite, gap=4d weekly rebalance, failed n_trades gate (31)
